no,DT,O
drug,NN,D
",",",",O
nutritional,JJ,O
supplement,NN,O
",",",",O
food,NN,O
or,CC,O
herb,NN,O
interactions,NNS,O
have,VBP,O
yet,RB,O
been,VBN,O
reported,VBN,O
.,.,.
,,
no,DT,O
formal,JJ,O
drug/drug,NN,O
interaction,NN,O
studies,NNS,O
with,IN,O
plenaxis,NNPS,B
were,VBD,O
performed,VBN,O
.,.,.
,,
cytochrome,NN,O
p-450,NN,O
is,VBZ,O
not,RB,O
known,VBN,O
to,TO,O
be,VB,O
involved,VBN,O
in,IN,O
the,DT,O
metabolism,NN,O
of,IN,O
plenaxis,NNP,B
.,.,.
,,
plenaxis,NNP,B
is,VBZ,O
highly,RB,O
bound,VBN,O
to,TO,O
plasma,NN,O
proteins,NNS,O
-lrb-,-LRB-,O
96,CD,O
to,TO,O
99,CD,O
%,NN,O
-rrb-,-RRB-,O
.,.,.
,,
laboratory,NN,O
tests,NNS,O
response,NN,O
to,TO,O
plenaxis,NNP,B
should,MD,O
be,VB,O
monitored,VBN,O
by,IN,O
measuring,VBG,O
serum,NN,O
total,JJ,O
testosterone,NN,D
concentrations,NNS,O
just,RB,O
prior,RB,O
to,TO,O
administration,NN,O
on,IN,O
day,NN,O
29,CD,O
and,CC,O
every,DT,O
8,CD,O
weeks,NNS,O
thereafter,RB,O
.,.,.
,,
serum,NN,O
transaminase,NN,O
levels,NNS,O
should,MD,O
be,VB,O
obtained,VBN,O
before,IN,O
starting,VBG,O
treatment,NN,O
with,IN,O
plenaxis,NNPS,B
and,CC,O
periodically,RB,O
during,IN,O
treatment,NN,O
.,.,.
,,
periodic,JJ,O
measurement,NN,O
of,IN,O
serum,NN,O
psa,NN,O
levels,NNS,O
may,MD,O
also,RB,O
be,VB,O
considered,VBN,O
.,.,.
,,
formal,JJ,O
drug,NN,D
interaction,NN,O
studies,NNS,O
have,VBP,O
not,RB,O
been,VBN,O
conducted,VBN,O
with,IN,O
orencia,NN,B
.,.,.
,,
population,NNP,O
pharmacokinetic,JJ,O
analyses,NNS,O
revealed,VBD,O
that,IN,O
mtx,NNP,D
",",",",O
nsaids,NNS,G
",",",",O
corticosteroids,NNS,G
",",",",O
and,CC,O
tnf,NN,O
blocking,VBG,O
agents,NNS,O
did,VBD,O
not,RB,O
influence,VB,O
abatacept,JJ,D
clearance,NN,O
.,.,.
,,
the,DT,O
majority,NN,O
of,IN,O
patients,NNS,O
in,IN,O
ra,NN,O
clinical,JJ,O
studies,NNS,O
received,VBD,O
one,CD,O
or,CC,O
more,JJR,O
of,IN,O
the,DT,O
following,VBG,O
concomitant,JJ,O
medications,NNS,O
with,IN,O
