before	IN	O	O
using	VBG	O	O
this	DT	O	O
medication	NN	O	O
","	","	O	O
tell	VB	O	O
your	PRP$	O	O
doctor	NN	O	O
or	CC	O	O
pharmacist	NN	O	O
of	IN	O	O
all	DT	O	O
prescription	NN	O	O
and	CC	O	O
nonprescription	NN	O	O
products	NNS	O	O
you	PRP	O	O
may	MD	O	O
use	VB	O	O
","	","	O	O
especially	RB	O	O
of	IN	O	O
:	:	O	O
aminoglycosides	NNS	G	G
-lrb-	-LRB-	O	O
e.g.	FW	O	O
","	","	O	O
gentamicin	NN	D	D
","	","	O	O
amikacin	NN	D	D
-rrb-	-RRB-	O	O
","	","	O	O
amphotericin	NN	O	D
b	NN	O	O
","	","	O	O
cyclosporine	NN	D	D
","	","	O	O
non-steroidal	JJ	O	O
anti-inflammatory	JJ	O	G
drugs	NNS	D	D
-lrb-	-LRB-	O	O
e.g.	FW	O	O
","	","	O	O
ibuprofen	NN	D	D
-rrb-	-RRB-	O	O
","	","	O	O
tacrolimus	NN	D	D
","	","	O	O
vancomycin	NN	D	O
.	.	.	.

do	VB	O	O
not	RB	O	O
start	VB	O	O
or	CC	O	O
stop	VB	O	O
any	DT	O	O
medicine	NN	O	O
without	IN	O	O
doctor	NN	O	O
or	CC	O	O
pharmacist	NN	O	O
approval	NN	O	O
.	.	.	.

intravenous	JJ	O	O
adenocard	NN	B	O
-lrb-	-LRB-	O	O
adenosine	NN	D	D
-rrb-	-RRB-	O	O
has	VBZ	O	O
been	VBN	O	O
effectively	RB	O	O
administered	VBN	O	O
in	IN	O	O
the	DT	O	O
presence	NN	O	O
of	IN	O	O
other	JJ	O	O
cardioactive	JJ	O	O
drugs	NNS	D	D
","	","	O	O
such	JJ	O	O
as	IN	O	O
quinidine	NN	D	D
","	","	O	O
beta-adrenergic	JJ	O	O
blocking	VBG	O	O
agents	NNS	O	O
","	","	O	O
calcium	NN	D	D
channel	NN	O	O
blocking	VBG	O	O
agents	NNS	O	O
","	","	O	O
and	CC	O	O
angiotensin	NN	O	O
converting	NN	O	O
enzyme	NN	O	O
inhibitors	NNS	O	O
","	","	O	O
without	IN	O	O
any	DT	O	O
change	NN	O	O
in	IN	O	O
the	DT	O	O
adverse	JJ	O	O
reaction	NN	O	O
profile	NN	O	O
.	.	.	.

digoxin	NN	D	D
and	CC	O	O
verapamil	NN	D	D
use	NN	O	O
may	MD	O	O
be	VB	O	O
rarely	RB	O	O
associated	VBN	O	O
with	IN	O	O
ventricular	JJ	O	O
fibrillation	NN	O	O
when	WRB	O	O
combined	VBN	O	O
with	IN	O	O
adenocard	NNP	B	B
.	.	.	.

because	IN	O	O
of	IN	O	O
the	DT	O	O
potential	NN	O	O
for	IN	O	O
additive	JJ	O	O
or	CC	O	O
synergistic	JJ	O	O
depressant	NN	O	O
effects	NNS	O	O
on	IN	O	O
the	DT	O	O
sa	NNP	O	O
and	CC	O	O
av	NNP	O	O
nodes	NNS	O	O
","	","	O	O
however	RB	O	O
","	","	O	O
adenocard	NNP	B	B
should	MD	O	O
be	VB	O	O
used	VBN	O	O
with	IN	O	O
caution	NN	O	O
in	IN	O	O
the	DT	O	O
presence	NN	O	O
of	IN	O	O
these	DT	O	O
agents	NNS	O	O
.	.	.	.

the	DT	O	O
use	NN	O	O
of	IN	O	O
adenocard	NNP	B	B
in	IN	O	O
patients	NNS	O	O
receiving	VBG	O	O
digitalis	NN	G	G
may	MD	O	O
be	VB	O	O
rarely	RB	O	O
associated	VBN	O	O
with	IN	O	O
ventricular	JJ	O	O
fibrillation	NN	O	O
.	.	.	.

the	DT	O	O
effects	NNS	O	O
of	IN	O	O
adenosine	NN	D	D
are	VBP	O	O
antagonized	VBN	O	O
by	IN	O	O
